user_id,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi
0,7.7,7.444444444444445,,7.75,,,7.2,4.0,7.818181818181818,7.0,,8.0,8.5,,,8.0,5.0,,7.75,6.0,8.5,9.0,7.0,6.0,7.230769230769231,8.0,6.5,7.0,,8.333333333333334,,7.166666666666667,6.0,7.0,,6.0,6.666666666666667,7.571428571428571,,,6.5,
1,7.886363636363637,7.75,,7.86,,8.5,8.447368421052632,7.5,7.826086956521739,6.0,7.0,8.333333333333334,9.0,,6.0,8.0,8.1,7.666666666666667,10.0,9.0,8.818181818181818,7.25,9.0,8.555555555555555,7.9,,8.047619047619047,8.642857142857142,8.666666666666666,,,8.12962962962963,,7.666666666666667,,8.0,8.428571428571429,7.954545454545454,9.25,,8.0,
2,8.551724137931034,8.875,,8.588235294117647,,8.5,8.4,8.0,8.75,8.0,8.25,,7.571428571428571,,,9.0,9.0,9.0,9.0,,8.11111111111111,9.0,10.0,8.2,8.0,,8.4,8.4,8.0,,,8.608695652173912,,8.5,,9.0,9.090909090909092,8.375,8.75,,9.0,
3,7.571428571428571,7.84,8.0,7.492227979274611,8.0,7.6923076923076925,7.956521739130435,7.075949367088608,7.604166666666667,7.625,7.121212121212121,8.4,7.769230769230769,8.0,,7.590909090909091,6.333333333333333,7.6923076923076925,7.666666666666667,8.0,7.658536585365853,7.8125,8.5,7.916666666666667,7.433070866141732,8.333333333333334,7.47244094488189,7.630434782608695,7.551724137931035,8.0,6.0,7.645161290322581,,7.746268656716418,9.0,8.0,7.090909090909091,7.655913978494624,8.0,,7.5,
4,7.53125,7.769230769230769,,7.685185185185185,,6.666666666666667,7.72463768115942,6.5,7.564102564102564,,7.166666666666667,8.0,7.571428571428571,8.166666666666666,,7.739130434782608,7.8,7.727272727272727,9.25,8.2,7.952380952380952,6.5,10.0,8.142857142857142,7.794520547945205,,7.6521739130434785,7.133333333333334,8.0,7.853658536585366,5.5,7.571428571428571,7.0,7.821428571428571,,7.0,7.888888888888889,7.676470588235294,8.333333333333334,,8.5,
5,9.0,8.2,,7.935483870967742,,10.0,8.923076923076923,7.5,8.3,,7.857142857142857,5.0,7.5,,,7.0,,8.333333333333334,9.0,10.0,,8.0,,9.5,8.321428571428571,5.0,8.15,8.4,7.555555555555555,9.11111111111111,,8.11111111111111,,8.571428571428571,8.0,,7.0,8.333333333333334,,,,
6,7.182692307692308,6.739726027397261,,6.993243243243243,6.833333333333333,5.75,7.68,5.9,6.586666666666667,3.5,6.666666666666667,7.478260869565218,6.55,6.333333333333333,6.185185185185185,7.44,7.0,7.290322580645161,7.739130434782608,6.764705882352941,8.108108108108109,7.277777777777778,7.727272727272727,8.108108108108109,7.607142857142857,7.333333333333333,7.558823529411764,7.36986301369863,7.526315789473684,7.461538461538462,7.0,6.526315789473684,7.909090909090909,7.551724137931035,6.857142857142857,6.0,7.0,7.292307692307692,8.1875,,8.0,8.0
7,7.74074074074074,8.294117647058824,,7.875,,7.333333333333333,8.379310344827585,6.8,7.96,7.6,6.916666666666667,8.4,7.666666666666667,10.0,,8.0,,7.666666666666667,8.333333333333334,9.0,8.125,,,8.666666666666666,7.728813559322034,,7.771428571428571,7.111111111111111,7.9,7.714285714285714,6.5,7.333333333333333,,8.772727272727273,,,6.8,7.814814814814815,8.666666666666666,,8.0,
8,7.6,7.0,,7.571428571428571,9.0,6.0,8.0,,6.5,,,9.0,7.666666666666667,,,,,8.5,,7.0,7.0,,,7.8,7.714285714285714,,7.5,7.666666666666667,6.5,8.0,,7.0,,7.833333333333333,,,,7.714285714285714,7.0,,,
10,,,,8.0,9.0,,,,,,,,9.0,,,,,,,,7.75,5.0,,8.666666666666666,,,,,,,,,,,,,,8.666666666666666,8.666666666666666,,,
